edge_id,start_lat,start_lon,end_lat,end_lon
1207092169,10.310372856651837,47.73785424685815,10.310453345926836,47.73782732396346
1207092170,10.310539451996902,47.73778238620728,10.310882436024377,47.73766752528215
1207092171,10.310984979892272,47.73764777325931,10.31151905686558,47.7374514562057
1207092172,10.311612694230112,47.73741700399935,10.312204755348466,47.73710790805375
1207092173#0,10.307304189339243,47.73458547328394,10.30676634580852,47.73440687434383
1207092174#0,10.309200618204528,47.735269460988434,10.309116874645975,47.73523028613438
1207092174#1,10.309015244894011,47.73518258737475,10.307399816413271,47.73461727081244
1207092175,10.307498784481464,47.73453745715337,10.308781375833387,47.73497011709728
1207092176,10.308876038260388,47.73500327407279,10.309212541319447,47.735134560021464
1207092177#0,10.309280080910105,47.73516714883506,10.30930016286997,47.73517546762716
1207092177#1,10.30930016286997,47.73517546762716,10.30937915285812,47.73520857807026
1207092179,10.315238340529357,47.731088450808585,10.31528263440857,47.7308878312666
1207092181#0,10.31197672504503,47.736467755957676,10.312480699121208,47.73660802724633
1207092181#1,10.312438923984391,47.736596358004114,10.312441342259108,47.73659705017044
1240215153,10.320252248830437,47.71621137204808,10.320262843096756,47.71629295068779
1264815372,10.313549784089329,47.735850864007766,10.315243787739897,47.73116176570243
141648035#1,10.311546183150202,47.70844394030408,10.311457948172755,47.70843928023409
141669966,10.323799505665855,47.73416659552437,10.321532678486877,47.73527723370267
141669973#0,10.314002788689624,47.73722153478043,10.312811488948581,47.73682032591227
141669979,10.317847053082707,47.7239591785921,10.318198109319987,47.723085054348054
141669987,10.333872394311152,47.72312948572017,10.33366970750911,47.72376682016142
141673695#1,10.314199827423009,47.72154828767297,10.315711251452774,47.72260620907464
141673696,10.315802379227888,47.72273005419903,10.315748139294733,47.7240920501593
141673698,10.315686166296823,47.724178150332,10.314546512139524,47.72435137417159
141673710,10.316703513932772,47.72002549101826,10.315842223956713,47.72261784401754
150394031,10.311697366095565,47.70834071609185,10.311747230035843,47.70834095582523
151597370#0,10.324417519547127,47.73327056801583,10.324782266657342,47.73275676509306
151597370#2,10.324896938813952,47.73262159830148,10.32687887399079,47.730751215953205
151597371,10.325199009360993,47.73297833834308,10.324914359599523,47.733907592469386
17682510,10.308315927672462,47.73851458361541,10.30948766911182,47.73815039273413
183830698,10.309878073761336,47.73548847471654,10.311878065625375,47.73644027087726
183830700#0,10.309679318063036,47.73509942800682,10.309598528824026,47.73517008323368
